iso3,year,age,sex,val
AFG,2004,45,Female,4448.114
AFG,2004,50,Male,5487.079
AFG,2004,50,Female,5347.11
AFG,2004,55,Male,6038.948
AFG,2004,55,Female,6464.255
AFG,2004,60,Male,6587.133
AFG,2004,60,Female,6113.013
AFG,2004,65,Male,6249.971
AFG,2004,65,Female,5997.012
AFG,2004,70,Male,5500.866
AFG,2004,70,Female,5729.593
AFG,2004,75,Male,4554.32
AFG,2004,75,Female,4927.516
AFG,2004,80,Male,2917.983
AFG,2004,80,Female,3461.162
AFG,2004,85,Male,1678.305
AFG,2004,85,Female,2175.289
AFG,2005,0,Male,62919.67
AFG,2005,0,Female,55104.75
AFG,2005,5,Male,2390.841
AFG,2005,5,Female,2346.96
AFG,2005,10,Male,1284.916
AFG,2005,10,Female,1152.557
AFG,2005,15,Male,3039.314
AFG,2005,15,Female,2320.031
AFG,2005,20,Male,3695.565
AFG,2005,20,Female,3100.145
AFG,2005,25,Male,3301.815
AFG,2005,25,Female,3272.747
AFG,2005,30,Male,3035.092
AFG,2005,30,Female,3198.753
AFG,2005,35,Male,3192.28
AFG,2005,35,Female,3576.475
AFG,2005,40,Male,3880.673
AFG,2005,40,Female,3987.378
AFG,2005,45,Male,4578.654
AFG,2005,45,Female,4511.382
AFG,2005,50,Male,5570.653
AFG,2005,50,Female,5348.33
AFG,2005,55,Male,6144.232
AFG,2005,55,Female,6604.454
AFG,2005,60,Male,6723.541
AFG,2005,60,Female,6358.569
AFG,2005,65,Male,6443.467
AFG,2005,65,Female,6182.073
AFG,2005,70,Male,5594.638
AFG,2005,70,Female,5899.487
AFG,2005,75,Male,4539.735
AFG,2005,75,Female,5007.921
AFG,2005,80,Male,2909.088
AFG,2005,80,Female,3490.967
AFG,2005,85,Male,1570.876
AFG,2005,85,Female,2103.861
AFG,2006,0,Male,61568.18
AFG,2006,0,Female,53809.38
AFG,2006,5,Male,2524.456
AFG,2006,5,Female,2480.29
AFG,2006,10,Male,1389.583
AFG,2006,10,Female,1252.288
AFG,2006,15,Male,3269.708
AFG,2006,15,Female,2390.57
AFG,2006,20,Male,4202.623
AFG,2006,20,Female,3173.661
AFG,2006,25,Male,3739.743
AFG,2006,25,Female,3357.577
AFG,2006,30,Male,3342.397
AFG,2006,30,Female,3274.857
AFG,2006,35,Male,3362.456
AFG,2006,35,Female,3635.277
AFG,2006,40,Male,3986.418
AFG,2006,40,Female,4046.834
AFG,2006,45,Male,4616.119
AFG,2006,45,Female,4559.101
AFG,2006,50,Male,5584.449
AFG,2006,50,Female,5358.46
AFG,2006,55,Male,6197.298
AFG,2006,55,Female,6636.807
AFG,2006,60,Male,6781.567
AFG,2006,60,Female,6617.741
AFG,2006,65,Male,6558.308
AFG,2006,65,Female,6303.581
AFG,2006,70,Male,5710.727
AFG,2006,70,Female,6063.044
AFG,2006,75,Male,4603.421
AFG,2006,75,Female,5142.934
AFG,2006,80,Male,3079.275
AFG,2006,80,Female,3657.338
AFG,2006,85,Male,1818.385
AFG,2006,85,Female,2408.728
AFG,2007,0,Male,59995.96
AFG,2007,0,Female,52348.4
AFG,2007,5,Male,2666.743
AFG,2007,5,Female,2608.869
AFG,2007,10,Male,1499.14
AFG,2007,10,Female,1355.545
AFG,2007,15,Male,3407.525
AFG,2007,15,Female,2424.437
AFG,2007,20,Male,4470.631
AFG,2007,20,Female,3166.209
AFG,2007,25,Male,3965.026
AFG,2007,25,Female,3388.029
AFG,2007,30,Male,3573.761
AFG,2007,30,Female,3310.668
AFG,2007,35,Male,3469.048
AFG,2007,35,Female,3655.664
AFG,2007,40,Male,4047.546
AFG,2007,40,Female,4076.698
AFG,2007,45,Male,4614.621
AFG,2007,45,Female,4571.583
AFG,2007,50,Male,5540.216
AFG,2007,50,Female,5360.24
AFG,2007,55,Male,6194.386
AFG,2007,55,Female,6546.124
AFG,2007,60,Male,6784.514
AFG,2007,60,Female,6899.885
AFG,2007,65,Male,6614.23
AFG,2007,65,Female,6367.308
AFG,2007,70,Male,5794.436
AFG,2007,70,Female,6211.084
AFG,2007,75,Male,4604.091
AFG,2007,75,Female,5247.082
AFG,2007,80,Male,3184.384
AFG,2007,80,Female,3758.135
AFG,2007,85,Male,1999.528
AFG,2007,85,Female,2643.068
AFG,2008,0,Male,58293.15
AFG,2008,0,Female,50755.68
AFG,2008,5,Male,2774.702
AFG,2008,5,Female,2696.573
AFG,2008,10,Male,1644.568
AFG,2008,10,Female,1476.468
AFG,2008,15,Male,3315.919
AFG,2008,15,Female,2382.082
AFG,2008,20,Male,4218.286
AFG,2008,20,Female,3066.895
AFG,2008,25,Male,3793.885
AFG,2008,25,Female,3361.037
AFG,2008,30,Male,3535.483
AFG,2008,30,Female,3301.447
AFG,2008,35,Male,3440.444
AFG,2008,35,Female,3646.381
AFG,2008,40,Male,4028.743
AFG,2008,40,Female,4091.955
AFG,2008,45,Male,4586.213
AFG,2008,45,Female,4579.931
AFG,2008,50,Male,5474.626
AFG,2008,50,Female,5377.883
AFG,2008,55,Male,6164.204
AFG,2008,55,Female,6418.759
AFG,2008,60,Male,6784.808
AFG,2008,60,Female,7188.87
AFG,2008,65,Male,6650.556
AFG,2008,65,Female,6442.413
AFG,2008,70,Male,5870.223
AFG,2008,70,Female,6366.896
AFG,2008,75,Male,4593.127
AFG,2008,75,Female,5356.943
AFG,2008,80,Male,3226.554
AFG,2008,80,Female,3818.724
AFG,2008,85,Male,2093.16
AFG,2008,85,Female,2779.819
AFG,2009,0,Male,56437.66
AFG,2009,0,Female,49024
AFG,2009,5,Male,2827.278
AFG,2009,5,Female,2724.63
AFG,2009,10,Male,1710.516
AFG,2009,10,Female,1557.566
AFG,2009,15,Male,3281.615
AFG,2009,15,Female,2355.577
AFG,2009,20,Male,4128.769
AFG,2009,20,Female,2958.481
AFG,2009,25,Male,3709.285
AFG,2009,25,Female,3291.984
AFG,2009,30,Male,3535.686
AFG,2009,30,Female,3273.668
AFG,2009,35,Male,3427.708
AFG,2009,35,Female,3620.147
AFG,2009,40,Male,3997.343
AFG,2009,40,Female,4082.844
AFG,2009,45,Male,4547.244
AFG,2009,45,Female,4577.34
AFG,2009,50,Male,5397.744
AFG,2009,50,Female,5382.084
AFG,2009,55,Male,6109.24
AFG,2009,55,Female,6295.194
AFG,2009,60,Male,6782.648
AFG,2009,60,Female,7386.302
AFG,2009,65,Male,6673.121
AFG,2009,65,Female,6569.353
AFG,2009,70,Male,5936.394
AFG,2009,70,Female,6508.799
AFG,2009,75,Male,4602.609
AFG,2009,75,Female,5478.239
AFG,2009,80,Male,3213.38
AFG,2009,80,Female,3856.549
AFG,2009,85,Male,2085.243
AFG,2009,85,Female,2796.03
AFG,2010,0,Male,54501.14
AFG,2010,0,Female,47152.2
AFG,2010,5,Male,2792.706
AFG,2010,5,Female,2660.935
AFG,2010,10,Male,1740.689
AFG,2010,10,Female,1578.22
AFG,2010,15,Male,3421.913
AFG,2010,15,Female,2408.981
AFG,2010,20,Male,4176.432
AFG,2010,20,Female,2914.243
AFG,2010,25,Male,3731.726
AFG,2010,25,Female,3255.308
AFG,2010,30,Male,3612.541
AFG,2010,30,Female,3293.224
AFG,2010,35,Male,3499.355
AFG,2010,35,Female,3644.32
AFG,2010,40,Male,4031.165
AFG,2010,40,Female,4113.421
AFG,2010,45,Male,4578.463
AFG,2010,45,Female,4619.814
AFG,2010,50,Male,5397.727
AFG,2010,50,Female,5420.734
AFG,2010,55,Male,6107.974
AFG,2010,55,Female,6261.491
AFG,2010,60,Male,6861.925
AFG,2010,60,Female,7529.837
AFG,2010,65,Male,6762.496
AFG,2010,65,Female,6825.771
AFG,2010,70,Male,6049.866
AFG,2010,70,Female,6679.285
AFG,2010,75,Male,4676.923
AFG,2010,75,Female,5648.706
AFG,2010,80,Male,3181.337
AFG,2010,80,Female,3908.623
AFG,2010,85,Male,1960.915
AFG,2010,85,Female,2682.55
AFG,2011,0,Male,52463.64
AFG,2011,0,Female,45270.9
AFG,2011,5,Male,2668.882
AFG,2011,5,Female,2525.907
AFG,2011,10,Male,1699.853
AFG,2011,10,Female,1550.486
AFG,2011,15,Male,3565.931
AFG,2011,15,Female,2488.441
AFG,2011,20,Male,4297.507
AFG,2011,20,Female,2930.082
AFG,2011,25,Male,3804.377
AFG,2011,25,Female,3224.784
AFG,2011,30,Male,3657.664
AFG,2011,30,Female,3301.568
AFG,2011,35,Male,3573.966
AFG,2011,35,Female,3662.328
AFG,2011,40,Male,4050.291
AFG,2011,40,Female,4133.126
AFG,2011,45,Male,4603.794
AFG,2011,45,Female,4662.535
AFG,2011,50,Male,5417.905
AFG,2011,50,Female,5459.558
AFG,2011,55,Male,6102.454
AFG,2011,55,Female,6262.969
AFG,2011,60,Male,6902.157
AFG,2011,60,Female,7545.154
AFG,2011,65,Male,6844.158
AFG,2011,65,Female,7119.215
AFG,2011,70,Male,6140.752
AFG,2011,70,Female,6784.098
AFG,2011,75,Male,4778.291
AFG,2011,75,Female,5811.747
AFG,2011,80,Male,3282.559
AFG,2011,80,Female,4082.43
AFG,2011,85,Male,2218.277
AFG,2011,85,Female,2983.173
AFG,2012,0,Male,50444.24
AFG,2012,0,Female,43419.51
AFG,2012,5,Male,2490.001
AFG,2012,5,Female,2351.632
AFG,2012,10,Male,1623.945
AFG,2012,10,Female,1464.426
AFG,2012,15,Male,3920.405
AFG,2012,15,Female,2619.48
AFG,2012,20,Male,4684.789
AFG,2012,20,Female,2957.139
AFG,2012,25,Male,4038.554
AFG,2012,25,Female,3174.372
AFG,2012,30,Male,3828.004
AFG,2012,30,Female,3321.998
AFG,2012,35,Male,3762.695
AFG,2012,35,Female,3702.397
AFG,2012,40,Male,4159.904
AFG,2012,40,Female,4190.593
AFG,2012,45,Male,4699.076
AFG,2012,45,Female,4754.763
AFG,2012,50,Male,5517.583
AFG,2012,50,Female,5554.599
AFG,2012,55,Male,6171.985
AFG,2012,55,Female,6379.626
AFG,2012,60,Male,7014.189
AFG,2012,60,Female,7552.004
AFG,2012,65,Male,7003.153
AFG,2012,65,Female,7560.186
AFG,2012,70,Male,6280.937
AFG,2012,70,Female,6919.739
AFG,2012,75,Male,4892.19
AFG,2012,75,Female,6013.782
AFG,2012,80,Male,3342.486
AFG,2012,80,Female,4240.8
AFG,2012,85,Male,2411.977
AFG,2012,85,Female,3216.628
AFG,2013,0,Male,48455.92
AFG,2013,0,Female,41605.24
AFG,2013,5,Male,2267.96
AFG,2013,5,Female,2142.989
AFG,2013,10,Male,1511.852
AFG,2013,10,Female,1352.382
AFG,2013,15,Male,4070.211
AFG,2013,15,Female,2692.451
AFG,2013,20,Male,4934.938
AFG,2013,20,Female,3006.797
AFG,2013,25,Male,4145.763
AFG,2013,25,Female,3139.441
AFG,2013,30,Male,3878.802
AFG,2013,30,Female,3342.307
AFG,2013,35,Male,3881.394
AFG,2013,35,Female,3743.438
AFG,2013,40,Male,4241.597
AFG,2013,40,Female,4244.754
AFG,2013,45,Male,4766.938
AFG,2013,45,Female,4844.293
AFG,2013,50,Male,5616.128
AFG,2013,50,Female,5654.72
AFG,2013,55,Male,6258.986
AFG,2013,55,Female,6527.857
AFG,2013,60,Male,7125.644
AFG,2013,60,Female,7531.12
AFG,2013,65,Male,7180.056
AFG,2013,65,Female,8026.352
AFG,2013,70,Male,6440.951
AFG,2013,70,Female,7095.846
AFG,2013,75,Male,5009.635
AFG,2013,75,Female,6228.825
AFG,2013,80,Male,3371.506
AFG,2013,80,Female,4373.763
AFG,2013,85,Male,2514.332
AFG,2013,85,Female,3352.784
AFG,2014,0,Male,46557.93
AFG,2014,0,Female,39862
AFG,2014,5,Male,2019.52
AFG,2014,5,Female,1918.46
AFG,2014,10,Male,1396.129
AFG,2014,10,Female,1239.499
AFG,2014,15,Male,4889.841
