iso3,year,month,observed
BEL,2015,5,8744.28571428572
BEL,2015,6,8441.71428571429
BEL,2015,7,8283
BEL,2015,8,8284
BEL,2015,9,8088.28571428571
BEL,2015,10,9056.57142857143
BEL,2015,11,8495.14285714286
BEL,2015,12,9774.85714285714
BEL,2016,1,9347.42857142857
BEL,2016,2,9014
BEL,2016,3,10168.1428571429
BEL,2016,4,8934.42857142857
BEL,2016,5,8831.85714285714
BEL,2016,6,8022.71428571429
BEL,2016,7,8563.71428571429
BEL,2016,8,8494
BEL,2016,9,7975.42857142857
BEL,2016,10,8903.85714285714
BEL,2016,11,9156.42857142857
BEL,2016,12,10120
BEL,2017,1,11892.2857142857
BEL,2017,2,10388.8571428571
BEL,2017,3,9375.42857142857
BEL,2017,4,8513.14285714286
BEL,2017,5,9052.28571428571
BEL,2017,6,8193.85714285714
BEL,2017,7,8248.71428571429
BEL,2017,8,8226.71428571429
BEL,2017,9,8126.71428571429
BEL,2017,10,8744.85714285714
BEL,2017,11,8697.85714285714
BEL,2017,12,9817.28571428571
BEL,2018,1,10633.7142857143
BEL,2018,2,10270.7142857143
BEL,2018,3,12080.5714285714
BEL,2018,4,8908.42857142857
BEL,2018,5,8519.57142857143
BEL,2018,6,7832
BEL,2018,7,8918.71428571429
BEL,2018,8,8489.57142857143
BEL,2018,9,8062.42857142857
BEL,2018,10,8655
BEL,2018,11,8749.28571428571
BEL,2018,12,9221
BEL,2019,1,11091.2857142857
BEL,2019,2,9797
BEL,2019,3,9959.57142857143
BEL,2019,4,8843
BEL,2019,5,8869
BEL,2019,6,8258.57142857143
BEL,2019,7,8741.42857142857
BEL,2019,8,8229.14285714286
BEL,2019,9,8085.14285714286
BEL,2019,10,8822
BEL,2019,11,8876.85714285714
BEL,2019,12,8863
BEL,2020,1,11159.4285714286
BEL,2020,2,9362.57142857143
BEL,2020,3,11921.2857142857
BEL,2020,4,15066.7142857143
BEL,2020,5,9448
BEL,2020,6,7988.71428571429
BEL,2020,7,8030.14285714286
BEL,2020,8,9840.42857142857
BEL,2020,9,8192.85714285714
BEL,2020,10,10950.8571428571
BEL,2020,11,13965.5714285714
BEL,2020,12,12509.4285714286
BEL,2021,1,10104.1428571429
BEL,2021,2,8945.57142857143
BEL,2021,3,9399
BEL,2021,4,9466.28571428571
BEL,2021,5,9254.28571428571
BEL,2021,6,8153.42857142857
BEL,2021,7,8453.28571428571
BEL,2021,8,8316.57142857143
BEL,2021,9,8313.42857142857
BEL,2021,10,9835.42857142857
BEL,2021,11,10412.4285714286
BEL,2021,12,11602.1428571429
BGR,2015,1,12113
BGR,2015,2,9734
BGR,2015,3,10624.1428571429
BGR,2015,4,9488.85714285714
BGR,2015,5,8822.71428571429
BGR,2015,6,8203.85714285714
BGR,2015,7,8911.85714285714
BGR,2015,8,8441.85714285714
BGR,2015,9,7813.42857142857
BGR,2015,10,9002.28571428571
BGR,2015,11,9056.42857142857
BGR,2015,12,10057.5714285714
BGR,2016,1,9698.14285714286
BGR,2016,2,8954.57142857143
BGR,2016,3,9111.57142857143
BGR,2016,4,8560.71428571429
BGR,2016,5,8928.28571428571
BGR,2016,6,8477.28571428571
BGR,2016,7,8346.85714285714
BGR,2016,8,8165.14285714286
BGR,2016,9,7729.85714285714
BGR,2016,10,9228.14285714286
BGR,2016,11,9069.57142857143
BGR,2016,12,10744.8571428571
BGR,2017,1,12914.1428571429
BGR,2017,2,9370.14285714286
BGR,2017,3,9482
BGR,2017,4,8834.57142857143
BGR,2017,5,8788.42857142857
BGR,2017,6,8671.42857142857
BGR,2017,7,8519.42857142857
BGR,2017,8,8265.42857142857
BGR,2017,9,7623.42857142857
BGR,2017,10,8888.28571428572
BGR,2017,11,8836.42857142857
BGR,2017,12,8990.28571428571
BGR,2018,1,10639.1428571429
BGR,2018,2,9580.85714285714
BGR,2018,3,9901
BGR,2018,4,8755.57142857143
BGR,2018,5,8454.71428571429
BGR,2018,6,7841.71428571429
BGR,2018,7,8629.14285714286
BGR,2018,8,8246.71428571429
BGR,2018,9,8020.57142857143
BGR,2018,10,9218.85714285714
BGR,2018,11,9154.14285714286
BGR,2018,12,9759.57142857143
BGR,2019,1,12666.8571428571
BGR,2019,2,9169.14285714286
BGR,2019,3,9470
BGR,2019,4,8839.57142857143
BGR,2019,5,8915.42857142857
BGR,2019,6,8420.14285714286
BGR,2019,7,8384.28571428571
BGR,2019,8,8409.57142857143
BGR,2019,9,7644.14285714286
BGR,2019,10,8574.28571428572
BGR,2019,11,8831.57142857143
BGR,2019,12,8493
BGR,2020,1,11058.5714285714
BGR,2020,2,9352.42857142857
BGR,2020,3,9124.71428571429
BGR,2020,4,8552
BGR,2020,5,8511.85714285714
BGR,2020,6,8348.71428571429
BGR,2020,7,8950
BGR,2020,8,8746.71428571429
BGR,2020,9,8129.85714285714
BGR,2020,10,10196.1428571429
BGR,2020,11,17688
BGR,2020,12,17917
BGR,2021,1,10447.1428571429
BGR,2021,2,9894.42857142857
BGR,2021,3,14769.2857142857
BGR,2021,4,15385.7142857143
BGR,2021,5,10946.8571428571
BGR,2021,6,9095.85714285714
BGR,2021,7,9146.71428571429
BGR,2021,8,9980.42857142857
BGR,2021,9,11780.5714285714
BGR,2021,10,15773.8571428571
BGR,2021,11,16807.2857142857
BGR,2021,12,14605.8571428571
CAN,2015,1,30410
CAN,2015,2,22470
CAN,2015,3,23809.2857142857
CAN,2015,4,22052.8571428571
CAN,2015,5,21823.5714285714
CAN,2015,6,19910
CAN,2015,7,20438.5714285714
CAN,2015,8,20278.5714285714
CAN,2015,9,20240.7142857143
CAN,2015,10,22266.4285714286
CAN,2015,11,21493.5714285714
CAN,2015,12,24261.4285714286
CAN,2016,1,22212.1428571429
CAN,2016,2,22243.5714285714
CAN,2016,3,24077.8571428571
CAN,2016,4,22221.4285714286
CAN,2016,5,22036.4285714286
CAN,2016,6,20390.7142857143
CAN,2016,7,20909.2857142857
CAN,2016,8,21297.8571428571
CAN,2016,9,20835.7142857143
CAN,2016,10,22988.5714285714
CAN,2016,11,22324.2857142857
CAN,2016,12,24542.1428571429
CAN,2017,1,27274.2857142857
CAN,2017,2,23331.4285714286
CAN,2017,3,24680
CAN,2017,4,22683.5714285714
CAN,2017,5,22497.1428571429
CAN,2017,6,21109.2857142857
CAN,2017,7,21639.2857142857
CAN,2017,8,21620.7142857143
CAN,2017,9,21589.2857142857
CAN,2017,10,23048.5714285714
CAN,2017,11,23330
CAN,2017,12,24591.4285714286
CAN,2018,1,29842.1428571429
CAN,2018,2,24064.2857142857
CAN,2018,3,25403.5714285714
CAN,2018,4,23579.2857142857
CAN,2018,5,23157.8571428571
CAN,2018,6,21792.8571428571
CAN,2018,7,22234.2857142857
CAN,2018,8,22000.7142857143
CAN,2018,9,22015.7142857143
CAN,2018,10,23925
CAN,2018,11,23523.5714285714
CAN,2018,12,23325.7142857143
CAN,2019,1,28150
CAN,2019,2,23236.4285714286
CAN,2019,3,25031.4285714286
CAN,2019,4,23692.8571428571
CAN,2019,5,23741.4285714286
CAN,2019,6,21965
CAN,2019,7,22571.4285714286
CAN,2019,8,22366.4285714286
CAN,2019,9,22088.5714285714
CAN,2019,10,24337.8571428571
CAN,2019,11,24118.5714285714
CAN,2019,12,23015
CAN,2020,1,29740
CAN,2020,2,23925
CAN,2020,3,25962.1428571429
CAN,2020,4,28686.4285714286
CAN,2020,5,27134.2857142857
CAN,2020,6,22766.4285714286
CAN,2020,7,23379.2857142857
CAN,2020,8,23628.5714285714
CAN,2020,9,23692.8571428571
CAN,2020,10,25600
CAN,2020,11,26707.1428571429
CAN,2020,12,31082.8571428571
CAN,2021,1,27872.8571428571
CAN,2021,2,24515
CAN,2021,3,25487.8571428571
CAN,2021,4,24654.2857142857
CAN,2021,5,25064.2857142857
CAN,2021,6,23333.5714285714
CAN,2021,7,24192.1428571429
CAN,2021,8,24611.4285714286
CAN,2021,9,25545
CAN,2021,10,26717.8571428571
CAN,2021,11,25645
CAN,2021,12,27235.7142857143
CHE,2015,1,7511
CHE,2015,2,6962
CHE,2015,3,6376
CHE,2015,4,5382.71428571429
CHE,2015,5,5072.57142857143
CHE,2015,6,5024.71428571429
CHE,2015,7,5544.14285714286
CHE,2015,8,5225.71428571429
CHE,2015,9,5033.85714285714
CHE,2015,10,5406.28571428572
