source,coverage,iso3,year,month,age,age_cat,sex,deaths
STMF,National,AUS,2021,9,0,0-14,Both,35.7673898572734
STMF,National,AUS,2021,10,0,0-14,Both,37.9155341463562
STMF,National,AUS,2021,11,0,0-14,Both,35.2729019190724
STMF,National,AUS,2021,999,0,0-14,Both,443.036310675309
STMF,National,AUS,2015,1,0,0-14,Female,25.4551601423488
STMF,National,AUS,2015,2,0,0-14,Female,23.8782918149466
STMF,National,AUS,2015,3,0,0-14,Female,31.7626334519573
STMF,National,AUS,2015,4,0,0-14,Female,24.1035587188612
STMF,National,AUS,2015,5,0,0-14,Female,26.5814946619217
STMF,National,AUS,2015,6,0,0-14,Female,34.9163701067616
STMF,National,AUS,2015,7,0,0-14,Female,20.9498220640569
STMF,National,AUS,2015,8,0,0-14,Female,36.2679715302491
STMF,National,AUS,2015,9,0,0-14,Female,26.8067615658363
STMF,National,AUS,2015,10,0,0-14,Female,24.5540925266904
STMF,National,AUS,2015,11,0,0-14,Female,34.2405693950178
STMF,National,AUS,2015,12,0,0-14,Female,28.608896797153
STMF,National,AUS,2015,999,0,0-14,Female,338.125622775801
STMF,National,AUS,2016,1,0,0-14,Female,20.8498376996896
STMF,National,AUS,2016,2,0,0-14,Female,30.2322646645499
STMF,National,AUS,2016,3,0,0-14,Female,18.1393587987299
STMF,National,AUS,2016,4,0,0-14,Female,23.5603166006492
STMF,National,AUS,2016,5,0,0-14,Female,30.8577597955405
STMF,National,AUS,2016,6,0,0-14,Female,27.1047890095964
STMF,National,AUS,2016,7,0,0-14,Female,21.892329584674
STMF,National,AUS,2016,8,0,0-14,Female,28.3557792715778
STMF,National,AUS,2016,9,0,0-14,Female,30.6492614185437
STMF,National,AUS,2016,10,0,0-14,Female,28.1472808945809
STMF,National,AUS,2016,11,0,0-14,Female,20.6413393226927
STMF,National,AUS,2016,12,0,0-14,Female,20.4328409456958
STMF,National,AUS,2016,999,0,0-14,Female,300.86315800652
STMF,National,AUS,2017,1,0,0-14,Female,34.4962059482583
STMF,National,AUS,2017,2,0,0-14,Female,24.0283917294765
STMF,National,AUS,2017,3,0,0-14,Female,30.6897280505195
STMF,National,AUS,2017,4,0,0-14,Female,23.3146771236504
STMF,National,AUS,2017,5,0,0-14,Female,36.6373497657364
STMF,National,AUS,2017,6,0,0-14,Female,26.1695355469546
STMF,National,AUS,2017,7,0,0-14,Female,31.6413475249542
STMF,National,AUS,2017,8,0,0-14,Female,31.6413475249542
STMF,National,AUS,2017,9,0,0-14,Female,23.7904868608678
STMF,National,AUS,2017,10,0,0-14,Female,31.6413475249542
STMF,National,AUS,2017,11,0,0-14,Female,29.0243939702587
STMF,National,AUS,2017,12,0,0-14,Female,24.2662965980852
STMF,National,AUS,2017,999,0,0-14,Female,347.34110816867
STMF,National,AUS,2018,1,0,0-14,Female,22.2168309325246
STMF,National,AUS,2018,2,0,0-14,Female,24.6853677028052
STMF,National,AUS,2018,3,0,0-14,Female,24.4609552691433
STMF,National,AUS,2018,4,0,0-14,Female,26.9294920394238
STMF,National,AUS,2018,5,0,0-14,Female,22.6656557998484
STMF,National,AUS,2018,6,0,0-14,Female,22.4412433661865
STMF,National,AUS,2018,7,0,0-14,Female,31.642153146323
STMF,National,AUS,2018,8,0,0-14,Female,24.0121304018196
STMF,National,AUS,2018,9,0,0-14,Female,20.6459438968916
STMF,National,AUS,2018,10,0,0-14,Female,32.5398028809704
STMF,National,AUS,2018,11,0,0-14,Female,25.3586050037908
STMF,National,AUS,2018,12,0,0-14,Female,29.3980288097043
STMF,National,AUS,2018,999,0,0-14,Female,306.996209249431
STMF,National,AUS,2019,1,0,0-14,Female,21.6916336244426
STMF,National,AUS,2019,2,0,0-14,Female,22.1128303938492
STMF,National,AUS,2019,3,0,0-14,Female,26.535396472619
STMF,National,AUS,2019,4,0,0-14,Female,27.3777900114323
STMF,National,AUS,2019,5,0,0-14,Female,20.6386417009259
STMF,National,AUS,2019,6,0,0-14,Female,25.4824045491024
STMF,National,AUS,2019,7,0,0-14,Female,28.0095851655423
STMF,National,AUS,2019,8,0,0-14,Female,22.5340271632559
STMF,National,AUS,2019,9,0,0-14,Female,28.2201835502456
STMF,National,AUS,2019,10,0,0-14,Female,20.0068465468159
STMF,National,AUS,2019,11,0,0-14,Female,22.7446255479592
STMF,National,AUS,2019,12,0,0-14,Female,26.3247980879157
STMF,National,AUS,2019,999,0,0-14,Female,291.678762814106
STMF,National,AUS,2020,1,0,0-14,Female,19.0457744894486
STMF,National,AUS,2020,2,0,0-14,Female,18.0106780498047
STMF,National,AUS,2020,3,0,0-14,Female,26.0844302790274
STMF,National,AUS,2020,4,0,0-14,Female,19.4598130653062
STMF,National,AUS,2020,5,0,0-14,Female,20.2878902170213
STMF,National,AUS,2020,6,0,0-14,Female,25.8774109910986
STMF,National,AUS,2020,7,0,0-14,Female,24.8423145514547
STMF,National,AUS,2020,8,0,0-14,Female,27.9476038703865
STMF,National,AUS,2020,9,0,0-14,Female,23.1861602480244
STMF,National,AUS,2020,10,0,0-14,Female,19.666832353235
STMF,National,AUS,2020,11,0,0-14,Female,21.7370252325229
STMF,National,AUS,2020,12,0,0-14,Female,26.498468854885
STMF,National,AUS,2020,999,0,0-14,Female,272.644402202215
