iso3,year,month,adj.ac
BEL,2021,8,8677.31054083122
BEL,2021,9,8674.1772913839
BEL,2021,10,10260.4967258575
BEL,2021,11,10852.0840619832
BEL,2021,12,11721.9337895021
BGR,2020,1,10153.8571428571
BGR,2020,2,9352.42857142857
BGR,2020,3,9124.71428571429
BGR,2020,4,8552
BGR,2020,5,8511.85714285714
BGR,2020,6,8348.71428571429
BGR,2020,7,8950
BGR,2020,8,8746.71428571429
BGR,2020,9,8129.85714285714
BGR,2020,10,10196.1428571429
BGR,2020,11,17688
BGR,2020,12,17068.4285714286
BGR,2021,1,11277
BGR,2021,2,9871.85714285714
BGR,2021,3,14752.2857142857
BGR,2021,4,15359
BGR,2021,5,10917.8571428571
BGR,2021,6,9077.71428571429
BGR,2021,7,9118.85714285714
BGR,2021,8,9953
BGR,2021,9,11741.5714285714
BGR,2021,10,15677.5714285714
BGR,2021,11,16631.1428571429
BGR,2021,12,13825.5714285714
BIH,2020,1,2849.9770142634
BIH,2020,2,3260.17013453059
BIH,2020,3,3023.01133298653
BIH,2020,4,3264.24153026526
BIH,2020,5,2990.44016710924
BIH,2020,6,3005.70790111422
BIH,2020,7,3120.72483061842
BIH,2020,8,3388.41910017245
BIH,2020,9,3520.73946154896
BIH,2020,10,3568.57836143124
BIH,2020,11,5506.56273113035
BIH,2020,12,6068.41534251371
BIH,2021,1,3513.6145190133
BIH,2021,2,3515.65021688064
BIH,2021,3,4872.44284545675
BIH,2021,4,6159.00389760994
BIH,2021,5,4298.3760468694
BIH,2021,6,3334.47310668818
BIH,2021,7,3121.74267955209
BIH,2021,8,3072.88593073614
BIH,2021,9,3846.45112032192
BIH,2021,10,4198.62685137019
BIH,2021,11,4697.37282886628
BIH,2021,12,4738.0867862129
BLR,2020,1,10725
BLR,2020,2,9622
BLR,2020,3,10690
BLR,2020,4,10886
BLR,2020,5,11966
BLR,2020,6,13016
BLR,2020,7,10759
BLR,2020,8,10413
BLR,2020,9,10659
BLR,2020,10,12704
BLR,2020,11,15565
BLR,2020,12,17531
BLR,2021,1,16127
BLR,2021,2,12554
BLR,2021,3,11036
BLZ,2020,1,178
BLZ,2020,2,166
BLZ,2020,3,166
BLZ,2020,4,145
BLZ,2020,5,157
BLZ,2020,6,168
BLZ,2020,7,156
