"state","year","completeness_deaths","deaths_registerd","deaths_scaled"
"Manipur",2017,0.297,4130,13905.723905723906
"Manipur",2018,0.375,4476,11936
"Manipur",2019,0.214,2990,13971.96261682243
"Manipur",2020,0.214,2230,10420.560747663552
"Meghalaya",2015,0.782,15934,20375.959079283886
"Meghalaya",2016,0.867,NA,NA
"Meghalaya",2017,0.8029999999999999,13779,17159.402241594024
"Meghalaya",2018,0.897,14779,16476.03121516165
"Meghalaya",2019,0.976,18298,18747.950819672133
"Meghalaya",2020,0.976,19191,19662.909836065573
"Mizoram",2015,1,6440,6440
"Mizoram",2016,1,6422,6422
"Mizoram",2017,1,5525,5525
"Mizoram",2018,1,5525,5525
"Mizoram",2019,1,6606,6606
"Mizoram",2020,1,6703,6703
"Nagaland",2015,0.292,2069,7085.6164383561645
"Nagaland",2016,0.19899999999999998,2137,10738.693467336685
"Nagaland",2017,0.21100000000000002,1836,8701.421800947866
"Nagaland",2018,0.09699999999999999,828,8536.082474226805
"Nagaland",2019,0.3,2266,7553.333333333334
"Nagaland",2020,0.3,2509,8363.333333333334
"Odisha",2015,1,321009,321009
"Odisha",2016,1,345527,345527
"Odisha",2017,1,322660,322660
"Odisha",2018,1,328799,328799
"Odisha",2019,1,342947,342947
"Odisha",2020,1,362982,362982
"Puducherry",2015,1,12133,12133
"Puducherry",2016,1,12460,12460
"Puducherry",2017,1,13350,13350
"Puducherry",2018,1,12839,12839
"Puducherry",2019,1,13255,13255
"Puducherry",2020,1,12923,12923
"Punjab",2015,1,199461,199461
"Punjab",2016,1,213578,213578
"Punjab",2017,1,210398,210398
"Punjab",2018,1,213234,213234
"Punjab",2019,1,215045,215045
"Punjab",2020,1,229846,229846
"Rajasthan",2015,0.899,409463,455464.96106785315
"Rajasthan",2016,0.9329999999999999,416992,446936.7631296892
"Rajasthan",2017,0.953,424763,445711.4375655824
"Rajasthan",2018,0.9990000000000001,443173,443616.61661661655
"Rajasthan",2019,0.986,451315,457723.1237322515
"Rajasthan",2020,0.986,477151,483925.9634888438
"Sikkim",2015,1,3438,3438
"Sikkim",2016,1,3496,3496
"Sikkim",2017,1,3339,3339
"Sikkim",2018,1,3386,3386
"Sikkim",2019,1,3308,3308
"Sikkim",2020,1,3543,3543
"Tamil Nadu",2015,1,568271,568271
"Tamil Nadu",2016,1,563625,563625
"Tamil Nadu",2017,1,580496,580496
"Tamil Nadu",2018,1,574006,574006
"Tamil Nadu",2019,1,633897,633897
"Tamil Nadu",2020,1,687212,687212
"Telangana",2015,0.816,192857,236344.36274509804
"Telangana",2016,0.9159999999999999,204917,223708.5152838428
"Telangana",2017,0.732,178345,243640.71038251367
"Telangana",2018,0.5820000000000001,136528,234584.19243986253
"Telangana",2019,0.972,228294,234870.37037037036
"Telangana",2020,0.972,203127,208978.3950617284
"Tripura",2015,0.514,10154,19754.86381322957
"Tripura",2016,0.494,10440,21133.603238866395
"Tripura",2017,1,26296,26296
"Tripura",2018,1,29080,29080
"Tripura",2019,1,30419,30419
"Tripura",2020,1,31645,31645
"Uttar Pradesh",2015,0.442,687416,1555239.819004525
"Uttar Pradesh",2016,0.402,608740,1514278.606965174
"Uttar Pradesh",2017,0.38299999999999995,571170,1491305.4830287208
"Uttar Pradesh",2018,0.608,906653,1491205.5921052631
"Uttar Pradesh",2019,0.633,944596,1492252.764612954
"Uttar Pradesh",2020,0.633,873419,1379808.8467614534
"Uttarakhand",2015,0.654,44147,67503.05810397553
"Uttarakhand",2016,0.674,48228,71554.89614243322
"Uttarakhand",2017,0.469,33931,72347.54797441365
"Uttarakhand",2018,0.7070000000000001,47894,67742.57425742573
"Uttarakhand",2019,0.956,66313,69365.06276150628
"Uttarakhand",2020,0.956,62219,65082.6359832636
"West Bengal",2015,0.735,403180,548544.2176870748
"West Bengal",2016,0.8190000000000001,445540,544004.8840048839
"West Bengal",2017,0.807,442995,548940.5204460967
"West Bengal",2018,0.9179999999999999,490530,534346.4052287582
"West Bengal",2019,1,551695,551695
"West Bengal",2020,1,606714,606714
